What is a primary limitation of TF-IDF when representing the meaning of a sentence?,It relies on word frequencies and ignores the underlying contextual meaning of words.
Why is Word2Vec considered inferior to LLM embeddings for representing full documents?,It captures relationships between individual words but does not explicitly model context across longer text sequences.
How do modern LLM embeddings handle the different meanings of a word like 'tree' (natural vs. decision tree)?,They capture contextual semantics to distinguish meaning based on surrounding text.
What is the primary characteristic of 'conventional' embeddings like FastText compared to LLM embeddings?,"They provide contextless, fixed vector representations of individual words."
Which Python library is commonly used to load pre-trained models for generating text embeddings?,The `sentence_transformers` library.
What is the specific dimensionality of the embeddings produced by the `all-MiniLM-L6-v2` model?,$384$-dimensional vectors.
"In the `sentence_transformers` library, which model method converts a list of strings into numerical vectors?",The `encode()` method.
What does the `batch_size` parameter in the `model.encode()` method control?,The number of text sequences processed simultaneously during inference for efficiency.
What expectation exists for the embeddings of two semantically similar documents in vector space?,Their numerical vectors are expected to be positioned close to each other.
What must a user specify before running the K-Means clustering algorithm?,The number of clusters ($k$) to be identified.
Which heuristic method can help determine the optimal number of clusters for K-Means when ground-truth labels are unavailable?,The elbow method.
Term: Adjusted Rand Index (ARI),Definition: A permutation-invariant metric that compares cluster assignments against ground-truth category labels.
What does an ARI value close to $1$ indicate about clustering performance?,It indicates a strong agreement between the algorithm's clusters and the actual category labels.
How does DBSCAN differ from K-Means regarding the number of clusters?,DBSCAN automatically infers the number of clusters based on point density rather than requiring a pre-set value.
"In the DBSCAN algorithm, what does the parameter `eps` represent?",The maximum distance between two samples for one to be considered as in the neighborhood of the other.
"In DBSCAN, what is the role of the `min_samples` parameter?",It defines the minimum number of points required in a neighborhood to constitute a dense region or cluster.
Which distance metric is typically more effective for text embeddings when using DBSCAN?,Cosine distance.
What does a cluster label of $-1$ indicate in Scikit-learn's DBSCAN output?,It identifies the document as a noise point or outlier that does not belong to any cluster.
Why is dimensionality reduction often performed before visualizing document embeddings?,"To project high-dimensional vectors (e.g., $384$-D) into a $2$D space for human interpretation."
Which Scikit-learn class is used to perform Principal Component Analysis for dimensionality reduction?,The `PCA` class.
What are the two main reasons DBSCAN might underperform on text embeddings compared to K-Means?,The curse of dimensionality in high-dimensional spaces and its high sensitivity to hyperparameters.
Under what structural conditions does K-Means typically perform well for document grouping?,When the clusters are relatively well separated in the vector space.
What is the purpose of specialized LLM models like `all-miniLM` compared to standard generative models?,They are specifically designed to produce context-enriched numerical output embeddings instead of generating text.
"In a dataset combining text and numerical features, what is the first step in preparing the text for a Scikit-learn model?",Converting the raw text into LLM embeddings.
Why is it necessary to scale numerical features like 'account_age_days' before combining them with embeddings?,To prevent features with larger value ranges from dominating the model's learning process.
Which Scikit-learn tool is used to transform numerical features to have a mean of $0$ and a variance of $1$?,The `StandardScaler` class.
Which Numpy function is used to concatenate numerical feature matrices and embedding matrices horizontally?,The `hstack()` function.
What is the function of the `stratify` parameter in `train_test_split()` when dealing with small datasets?,It ensures that the proportion of each class remains consistent across both training and test sets.
Which ensemble machine learning model was used to classify customer support tickets after feature engineering?,The Random Forest Classifier.
What constitutes a necessary baseline to quantify the value added by LLM embeddings in a classification task?,Comparing the model's performance against one trained with traditional features like TF-IDF.
Concept: Silhouette Score,Definition: A metric measuring how similar a document is to its own cluster compared to other clusters.
